Env Name:                     Ant-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  cemppi
Num samples                   300
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
# AIS Iterations:             10
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             0.5000 0.5000 0.5000 0.5000 0.5000 0.5000 0.5000 0.5000 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:       598.93 :     100:         5.99 :  667.11
Trial    2:       594.11 :     100:         5.94 :  667.68
Trial    3:       553.00 :     100:         5.53 :  667.99
Trial    4:       517.44 :     100:         5.17 :  672.42
Trial    5:       485.89 :     100:         4.86 :  670.71
Trial    6:       473.46 :     100:         4.73 :  675.59
Trial    7:       631.25 :     100:         6.31 :  706.46
Trial    8:       351.91 :     100:         3.52 :  672.78
Trial    9:       494.11 :     100:         4.94 :  673.40
Trial   10:       451.46 :     100:         4.51 :  672.27
Trial   11:       555.61 :     100:         5.56 :  671.27
Trial   12:       513.47 :     100:         5.13 :  668.04
Trial   13:       539.17 :     100:         5.39 :  668.90
Trial   14:       515.53 :     100:         5.16 :  673.07
Trial   15:       505.49 :     100:         5.05 :  672.63
Trial   16:       601.46 :     100:         6.01 :  667.39
Trial   17:       484.55 :     100:         4.85 :  671.02
Trial   18:       577.80 :     100:         5.78 :  670.16
Trial   19:       586.80 :     100:         5.87 :  668.69
Trial   20:       590.40 :     100:         5.90 :  671.55
-----------------------------------
Trials AVE:       531.09 :  100.00:         5.31 :  672.46
Trials STD:        65.79 :    0.00:         0.66 :    8.35
Trials MED:       528.31 :  100.00:         5.28 :  671.14
Trials L95:       494.11 :  100.00:         4.94 :  668.69
Trials U95:       586.80 :  100.00:         5.87 :  672.63
Trials MIN:       351.91 :  100.00:         3.52 :  667.11
Trials MAX:       631.25 :  100.00:         6.31 :  706.46
