Env Name:                     Ant-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  cemppi
Num samples                   300
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
# AIS Iterations:             3
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             0.5000 0.5000 0.5000 0.5000 0.5000 0.5000 0.5000 0.5000
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:       473.98 :     100:         4.74 :   97.32
Trial    2:       458.92 :     100:         4.59 :   96.92
Trial    3:       461.78 :     100:         4.62 :   97.67
Trial    4:       324.62 :     100:         3.25 :   97.17
Trial    5:       355.82 :     100:         3.56 :   97.35
Trial    6:       448.34 :     100:         4.48 :   97.60
Trial    7:       367.27 :     100:         3.67 :   97.45
Trial    8:       464.56 :     100:         4.65 :   96.62
Trial    9:       274.51 :     100:         2.75 :   97.81
Trial   10:       296.89 :     100:         2.97 :   96.54
Trial   11:       392.27 :     100:         3.92 :   95.90
Trial   12:       373.37 :     100:         3.73 :   96.37
Trial   13:       353.95 :     100:         3.54 :   97.35
Trial   14:       389.23 :     100:         3.89 :   97.58
Trial   15:       497.58 :     100:         4.98 :   97.56
Trial   16:       429.40 :     100:         4.29 :   96.70
Trial   17:       345.27 :     100:         3.45 :   96.59
Trial   18:       375.92 :     100:         3.76 :   97.49
Trial   19:       391.58 :     100:         3.92 :   95.97
Trial   20:       418.42 :     100:         4.18 :   94.84
-----------------------------------
Trials AVE:       394.68 :  100.00:         3.95 :   96.94
Trials STD:        61.20 :    0.00:         0.61 :    0.75
Trials MED:       390.41 :  100.00:         3.90 :   97.25
Trials L95:       355.82 :  100.00:         3.56 :   96.59
Trials U95:       448.34 :  100.00:         4.48 :   97.49
Trials MIN:       274.51 :  100.00:         2.75 :   94.84
Trials MAX:       497.58 :  100.00:         4.98 :   97.81
