
Env Name:                     Ant-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  cemppi
Num samples                   125
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
# AIS Iterations:             8
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      2305.97 :     250:         9.22 :  972.21
Trial    2:      2324.76 :     250:         9.30 :  972.67
Trial    3:      2005.31 :     250:         8.02 :  976.83
Trial    4:      2203.20 :     250:         8.81 :  975.40
Trial    5:      2365.73 :     250:         9.46 :  969.57
Trial    6:      1948.69 :     250:         7.79 :  975.99
Trial    7:      2083.22 :     250:         8.33 :  975.99
Trial    8:      2310.30 :     250:         9.24 :  975.89
Trial    9:      2170.99 :     250:         8.68 :  973.74
Trial   10:      2248.43 :     250:         8.99 :  967.25
-----------------------------------
Trials AVE:      2196.66 :  250.00:         8.79 :  973.56
Trials STD:       143.07 :    0.00:         0.57 :    3.16
Trials MED:      2225.82 :  250.00:         8.90 :  974.57
Trials L95:      2005.31 :  250.00:         8.02 :  969.57
Trials U95:      2324.76 :  250.00:         9.30 :  975.99
Trials MIN:      1948.69 :  250.00:         7.79 :  967.25
Trials MAX:      2365.73 :  250.00:         9.46 :  976.83
