Env Name:                     Ant-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  mppi
Num samples                   3000
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.5000 0.5000 0.5000 0.5000 0.5000 0.5000 0.5000 0.5000 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:       478.06 :     100:         4.78 :  615.01
Trial    2:       482.01 :     100:         4.82 :  609.99
Trial    3:       354.41 :     100:         3.54 :  609.58
Trial    4:       499.00 :     100:         4.99 :  612.63
Trial    5:       414.90 :     100:         4.15 :  612.65
Trial    6:       270.78 :     100:         2.71 :  618.25
Trial    7:       568.79 :     100:         5.69 :  605.12
Trial    8:       435.73 :     100:         4.36 :  614.58
Trial    9:       377.44 :     100:         3.77 :  614.64
Trial   10:       385.96 :     100:         3.86 :  611.51
Trial   11:       278.07 :     100:         2.78 :  614.80
Trial   12:       454.31 :     100:         4.54 :  613.73
Trial   13:       497.28 :     100:         4.97 :  612.83
Trial   14:       410.47 :     100:         4.10 :  610.38
Trial   15:       262.62 :     100:         2.63 :  611.07
Trial   16:       442.82 :     100:         4.43 :  611.81
Trial   17:       364.75 :     100:         3.65 :  612.06
Trial   18:       359.61 :     100:         3.60 :  610.36
Trial   19:       382.39 :     100:         3.82 :  609.68
Trial   20:       400.70 :     100:         4.01 :  614.34
-----------------------------------
Trials AVE:       406.01 :  100.00:         4.06 :  612.25
Trials STD:        80.34 :    0.00:         0.80 :    2.78
Trials MED:       405.59 :  100.00:         4.06 :  612.35
Trials L95:       364.75 :  100.00:         3.65 :  610.38
Trials U95:       454.31 :  100.00:         4.54 :  614.34
Trials MIN:       262.62 :  100.00:         2.63 :  605.12
Trials MAX:       568.79 :  100.00:         5.69 :  618.25
