Env Name:                     Ant-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  mppi
Num samples                   900
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.5000 0.5000 0.5000 0.5000 0.5000 0.5000 0.5000 0.5000
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:       351.53 :     100:         3.52 :   75.09
Trial    2:       272.19 :     100:         2.72 :   75.35
Trial    3:       345.28 :     100:         3.45 :   75.00
Trial    4:       248.05 :     100:         2.48 :   75.21
Trial    5:       436.89 :     100:         4.37 :   74.56
Trial    6:       285.15 :     100:         2.85 :   74.36
Trial    7:       483.93 :     100:         4.84 :   75.83
Trial    8:       310.71 :     100:         3.11 :   75.44
Trial    9:       379.14 :     100:         3.79 :   75.47
Trial   10:       425.41 :     100:         4.25 :   75.33
Trial   11:       408.21 :     100:         4.08 :   74.98
Trial   12:       347.52 :     100:         3.48 :   75.02
Trial   13:       295.52 :     100:         2.96 :   75.37
Trial   14:       310.80 :     100:         3.11 :   74.75
Trial   15:       443.86 :     100:         4.44 :   75.33
Trial   16:       285.82 :     100:         2.86 :   74.62
Trial   17:       391.43 :     100:         3.91 :   74.82
Trial   18:       462.83 :     100:         4.63 :   75.34
Trial   19:       410.39 :     100:         4.10 :   74.78
Trial   20:       282.57 :     100:         2.83 :   75.60
-----------------------------------
Trials AVE:       358.86 :  100.00:         3.59 :   75.11
Trials STD:        71.13 :    0.00:         0.71 :    0.38
Trials MED:       349.52 :  100.00:         3.50 :   75.15
Trials L95:       295.52 :  100.00:         2.96 :   74.82
Trials U95:       410.39 :  100.00:         4.10 :   75.35
Trials MIN:       248.05 :  100.00:         2.48 :   74.36
Trials MAX:       483.93 :  100.00:         4.84 :   75.83
