
Env Name:                     Ant-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  mppi
Num samples                   1
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      -625.86 :     250:        -2.50 :   17.27
Trial    2:      -697.57 :     250:        -2.79 :   17.17
Trial    3:      -647.69 :     250:        -2.59 :   17.22
Trial    4:      -558.74 :     250:        -2.23 :   17.26
Trial    5:      -662.12 :     250:        -2.65 :   17.26
Trial    6:      -602.80 :     250:        -2.41 :   17.27
Trial    7:      -676.67 :     250:        -2.71 :   17.17
Trial    8:      -597.89 :     250:        -2.39 :   17.32
Trial    9:      -624.90 :     250:        -2.50 :   17.41
Trial   10:      -516.69 :     250:        -2.07 :   17.32
-----------------------------------
Trials AVE:      -621.09 :  250.00:        -2.48 :   17.27
Trials STD:        54.80 :    0.00:         0.22 :    0.07
Trials MED:      -625.38 :  250.00:        -2.50 :   17.27
Trials L95:      -676.67 :  250.00:        -2.71 :   17.17
Trials U95:      -558.74 :  250.00:        -2.23 :   17.32
Trials MIN:      -697.57 :  250.00:        -2.79 :   17.17
Trials MAX:      -516.69 :  250.00:        -2.07 :   17.41
