
Env Name:                     HalfCheetah-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  cemppi
Num samples                   125
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
# AIS Iterations:             8
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      3371.03 :     250:        13.48 :  276.56
Trial    2:      3225.38 :     250:        12.90 :  277.59
Trial    3:      3787.68 :     250:        15.15 :  277.16
Trial    4:      4025.55 :     250:        16.10 :  277.09
Trial    5:      4013.66 :     250:        16.05 :  277.81
Trial    6:      3546.61 :     250:        14.19 :  275.97
Trial    7:      2634.75 :     250:        10.54 :  277.64
Trial    8:      3240.39 :     250:        12.96 :  277.31
Trial    9:      3305.70 :     250:        13.22 :  276.06
Trial   10:      2424.60 :     250:         9.70 :  276.37
-----------------------------------
Trials AVE:      3357.53 :  250.00:        13.43 :  276.96
Trials STD:       529.61 :    0.00:         2.12 :    0.67
Trials MED:      3338.37 :  250.00:        13.35 :  277.12
Trials L95:      2634.75 :  250.00:        10.54 :  276.06
Trials U95:      4013.66 :  250.00:        16.05 :  277.64
Trials MIN:      2424.60 :  250.00:         9.70 :  275.97
Trials MAX:      4025.55 :  250.00:        16.10 :  277.81
