
Env Name:                     HalfCheetah-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  mppi
Num samples                   1000
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      2145.27 :     250:         8.58 :  116.24
Trial    2:      1966.07 :     250:         7.86 :  117.27
Trial    3:      2167.96 :     250:         8.67 :  119.89
Trial    4:      1978.64 :     250:         7.91 :  117.88
Trial    5:      1901.67 :     250:         7.61 :  117.28
Trial    6:      2369.27 :     250:         9.48 :  119.76
Trial    7:      2067.01 :     250:         8.27 :  118.97
Trial    8:      1848.13 :     250:         7.39 :  112.45
Trial    9:      2271.39 :     250:         9.09 :  113.45
Trial   10:      1989.62 :     250:         7.96 :  115.54
-----------------------------------
Trials AVE:      2070.50 :  250.00:         8.28 :  116.87
Trials STD:       166.19 :    0.00:         0.66 :    2.51
Trials MED:      2028.32 :  250.00:         8.11 :  117.28
Trials L95:      1901.67 :  250.00:         7.61 :  113.45
Trials U95:      2271.39 :  250.00:         9.09 :  119.76
Trials MIN:      1848.13 :  250.00:         7.39 :  112.45
Trials MAX:      2369.27 :  250.00:         9.48 :  119.89
