Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  cemppi
Num samples                   300
Horizon                       50
λ (inverse temp):             0.10
α (control cost param):       1.00
# AIS Iterations:             10
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             0.5000 0.5000 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        42.09 :     100:         0.42 :  170.76
Trial    2:        40.44 :     100:         0.40 :  164.14
Trial    3:        42.10 :     100:         0.42 :  155.37
Trial    4:        39.62 :     100:         0.40 :  171.65
Trial    5:        42.13 :     100:         0.42 :  160.92
Trial    6:        37.49 :     100:         0.37 :  172.21
Trial    7:        39.02 :     100:         0.39 :  155.40
Trial    8:        40.76 :     100:         0.41 :  154.22
Trial    9:        41.17 :     100:         0.41 :  170.35
Trial   10:        40.60 :     100:         0.41 :  171.28
Trial   11:        39.18 :     100:         0.39 :  167.54
Trial   12:        39.16 :     100:         0.39 :  164.00
Trial   13:        40.05 :     100:         0.40 :  165.06
Trial   14:        39.71 :     100:         0.40 :  156.29
Trial   15:        38.70 :     100:         0.39 :  166.61
Trial   16:        39.93 :     100:         0.40 :  169.36
Trial   17:        40.96 :     100:         0.41 :  153.66
Trial   18:        31.27 :     100:         0.31 :  166.20
Trial   19:        41.88 :     100:         0.42 :  145.52
Trial   20:        35.83 :     100:         0.36 :  176.06
-----------------------------------
Trials AVE:        39.60 :  100.00:         0.40 :  163.83
Trials STD:         2.53 :    0.00:         0.03 :    8.03
Trials MED:        39.99 :  100.00:         0.40 :  165.63
Trials L95:        39.16 :  100.00:         0.39 :  156.29
Trials U95:        40.96 :  100.00:         0.41 :  170.35
Trials MIN:        31.27 :  100.00:         0.31 :  145.52
Trials MAX:        42.13 :  100.00:         0.42 :  176.06
