Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  cemppi
Num samples                   300
Horizon                       50
λ (inverse temp):             0.10
α (control cost param):       1.00
# AIS Iterations:             3
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             0.5000 0.5000
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        10.30 :     100:         0.10 :   56.60
Trial    2:        34.18 :     100:         0.34 :   57.74
Trial    3:        37.32 :     100:         0.37 :   57.00
Trial    4:        25.10 :     100:         0.25 :   56.81
Trial    5:        35.05 :     100:         0.35 :   56.82
Trial    6:        42.94 :     100:         0.43 :   56.71
Trial    7:        31.57 :     100:         0.32 :   56.94
Trial    8:        18.65 :     100:         0.19 :   57.16
Trial    9:        40.78 :     100:         0.41 :   56.72
Trial   10:        40.60 :     100:         0.41 :   56.76
Trial   11:         9.03 :     100:         0.09 :   57.04
Trial   12:        38.48 :     100:         0.38 :   57.36
Trial   13:        34.61 :     100:         0.35 :   57.99
Trial   14:        34.15 :     100:         0.34 :   58.22
Trial   15:        42.11 :     100:         0.42 :   55.49
Trial   16:        40.74 :     100:         0.41 :   55.81
Trial   17:        41.70 :     100:         0.42 :   56.95
Trial   18:        23.53 :     100:         0.24 :   56.97
Trial   19:        35.18 :     100:         0.35 :   57.50
Trial   20:        32.83 :     100:         0.33 :   57.74
-----------------------------------
Trials AVE:        32.44 :  100.00:         0.32 :   57.02
Trials STD:        10.11 :    0.00:         0.10 :    0.65
Trials MED:        34.83 :  100.00:         0.35 :   56.96
Trials L95:        31.57 :  100.00:         0.32 :   56.76
Trials U95:        40.60 :  100.00:         0.41 :   57.36
Trials MIN:         9.03 :  100.00:         0.09 :   55.49
Trials MAX:        42.94 :  100.00:         0.43 :   58.22
