
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  cemppi
Num samples                   300
Horizon                       50
λ (inverse temp):             0.10
α (control cost param):       1.00
# AIS Iterations:             5
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        41.85 :     100:         0.42 :   97.95
Trial    2:        38.15 :     100:         0.38 :   92.85
Trial    3:        39.59 :     100:         0.40 :   93.47
Trial    4:        21.06 :     100:         0.21 :   92.71
Trial    5:        20.49 :     100:         0.20 :   94.42
Trial    6:        23.26 :     100:         0.23 :   93.79
Trial    7:         6.28 :     100:         0.06 :   93.78
Trial    8:        36.80 :     100:         0.37 :   92.16
Trial    9:        15.17 :     100:         0.15 :   92.73
Trial   10:        39.96 :     100:         0.40 :   93.81
Trial   11:        39.16 :     100:         0.39 :   93.81
Trial   12:        34.57 :     100:         0.35 :   93.90
Trial   13:        30.58 :     100:         0.31 :   92.92
Trial   14:        41.07 :     100:         0.41 :   92.38
Trial   15:        22.26 :     100:         0.22 :   93.81
Trial   16:         9.68 :     100:         0.10 :   93.02
Trial   17:        38.57 :     100:         0.39 :   91.42
Trial   18:        28.93 :     100:         0.29 :   95.00
Trial   19:        35.04 :     100:         0.35 :   95.99
Trial   20:        34.66 :     100:         0.35 :   95.73
-----------------------------------
Trials AVE:        29.86 :  100.00:         0.30 :   93.78
Trials STD:        10.92 :    0.00:         0.11 :    1.50
Trials MED:        34.62 :  100.00:         0.35 :   93.78
Trials L95:        22.26 :  100.00:         0.22 :   92.85
Trials U95:        38.57 :  100.00:         0.39 :   93.90
Trials MIN:         6.28 :  100.00:         0.06 :   91.42
Trials MAX:        41.85 :  100.00:         0.42 :   97.95
