
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  cemppi
Num samples                   100
Horizon                       50
λ (inverse temp):             0.50
α (control cost param):       1.00
# AIS Iterations:             5
CE Elite Threshold:           0.80
CE Σ Est Method:              mle
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        33.73 :     100:         0.34 :   51.56
Trial    2:        12.94 :     100:         0.13 :   50.58
Trial    3:        34.73 :     100:         0.35 :   50.60
Trial    4:        32.76 :     100:         0.33 :   50.10
Trial    5:        26.59 :     100:         0.27 :   49.78
Trial    6:        42.10 :     100:         0.42 :   49.04
Trial    7:        33.42 :     100:         0.33 :   49.78
Trial    8:        38.79 :     100:         0.39 :   49.44
Trial    9:        34.88 :     100:         0.35 :   50.82
Trial   10:        21.43 :     100:         0.21 :   48.87
Trial   11:        35.53 :     100:         0.36 :   50.13
Trial   12:        20.96 :     100:         0.21 :   50.25
Trial   13:        34.16 :     100:         0.34 :   49.19
Trial   14:        32.28 :     100:         0.32 :   47.63
Trial   15:        33.82 :     100:         0.34 :   50.52
Trial   16:        20.16 :     100:         0.20 :   49.27
Trial   17:        35.48 :     100:         0.35 :   50.85
Trial   18:        22.27 :     100:         0.22 :   48.18
Trial   19:        15.51 :     100:         0.16 :   48.90
Trial   20:        33.99 :     100:         0.34 :   50.20
-----------------------------------
Trials AVE:        29.78 :  100.00:         0.30 :   49.79
Trials STD:         8.08 :    0.00:         0.08 :    0.97
Trials MED:        33.57 :  100.00:         0.34 :   49.94
Trials L95:        22.27 :  100.00:         0.22 :   49.19
Trials U95:        34.73 :  100.00:         0.35 :   50.52
Trials MIN:        12.94 :  100.00:         0.13 :   47.63
Trials MAX:        42.10 :  100.00:         0.42 :   51.56
