
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  cemppi
Num samples                   300
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
# AIS Iterations:             10
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        35.41 :     100:         0.35 :  158.63
Trial    2:        22.43 :     100:         0.22 :  148.93
Trial    3:         9.90 :     100:         0.10 :  140.91
Trial    4:        13.84 :     100:         0.14 :  150.39
Trial    5:        20.21 :     100:         0.20 :  151.11
Trial    6:        27.51 :     100:         0.28 :  146.05
Trial    7:        16.34 :     100:         0.16 :  148.58
Trial    8:        30.74 :     100:         0.31 :  157.03
Trial    9:        35.69 :     100:         0.36 :  148.67
Trial   10:         9.81 :     100:         0.10 :  141.56
Trial   11:        16.43 :     100:         0.16 :  150.52
Trial   12:        34.80 :     100:         0.35 :  157.56
Trial   13:        35.40 :     100:         0.35 :  152.38
Trial   14:        35.47 :     100:         0.35 :  154.07
Trial   15:        25.62 :     100:         0.26 :  149.11
Trial   16:        35.55 :     100:         0.36 :  146.16
Trial   17:        35.23 :     100:         0.35 :  152.24
Trial   18:        15.86 :     100:         0.16 :  148.42
Trial   19:        26.92 :     100:         0.27 :  150.48
Trial   20:        27.18 :     100:         0.27 :  152.72
-----------------------------------
Trials AVE:        25.52 :  100.00:         0.26 :  150.28
Trials STD:         9.29 :    0.00:         0.09 :    4.64
Trials MED:        27.05 :  100.00:         0.27 :  150.44
Trials L95:        16.43 :  100.00:         0.16 :  148.58
Trials U95:        35.23 :  100.00:         0.35 :  152.38
Trials MIN:         9.81 :  100.00:         0.10 :  140.91
Trials MAX:        35.69 :  100.00:         0.36 :  158.63
