
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  cemppi
Num samples                   300
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
# AIS Iterations:             10
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             0.5000 0.5000
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        42.19 :     100:         0.42 :  160.08
Trial    2:        32.20 :     100:         0.32 :  164.58
Trial    3:        38.83 :     100:         0.39 :  170.86
Trial    4:        30.97 :     100:         0.31 :  171.56
Trial    5:        41.28 :     100:         0.41 :  164.03
Trial    6:        38.13 :     100:         0.38 :  160.17
Trial    7:        17.58 :     100:         0.18 :  178.51
Trial    8:        40.51 :     100:         0.41 :  166.14
Trial    9:        39.30 :     100:         0.39 :  165.05
Trial   10:        38.14 :     100:         0.38 :  163.16
Trial   11:        39.76 :     100:         0.40 :  148.98
Trial   12:        39.35 :     100:         0.39 :  176.77
Trial   13:        29.24 :     100:         0.29 :  170.49
Trial   14:        41.87 :     100:         0.42 :  164.02
Trial   15:        39.37 :     100:         0.39 :  169.02
Trial   16:        32.55 :     100:         0.33 :  161.12
Trial   17:        42.29 :     100:         0.42 :  161.65
Trial   18:         9.19 :     100:         0.09 :  173.73
Trial   19:        33.34 :     100:         0.33 :  168.36
Trial   20:        40.74 :     100:         0.41 :  166.66
-----------------------------------
Trials AVE:        35.34 :  100.00:         0.35 :  166.25
Trials STD:         8.59 :    0.00:         0.09 :    6.65
Trials MED:        39.06 :  100.00:         0.39 :  165.59
Trials L95:        32.55 :  100.00:         0.33 :  163.16
Trials U95:        40.51 :  100.00:         0.41 :  170.49
Trials MIN:         9.19 :  100.00:         0.09 :  148.98
Trials MAX:        42.29 :  100.00:         0.42 :  178.51
