
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  cemppi
Num samples                   300
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
# AIS Iterations:             3
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        34.94 :     100:         0.35 :   48.35
Trial    2:        34.54 :     100:         0.35 :   48.97
Trial    3:        34.23 :     100:         0.34 :   50.08
Trial    4:        34.43 :     100:         0.34 :   49.24
Trial    5:        31.45 :     100:         0.31 :   49.46
Trial    6:        34.38 :     100:         0.34 :   50.13
Trial    7:        34.24 :     100:         0.34 :   49.60
Trial    8:        34.12 :     100:         0.34 :   49.88
Trial    9:        33.94 :     100:         0.34 :   49.48
Trial   10:        34.69 :     100:         0.35 :   49.46
Trial   11:        34.66 :     100:         0.35 :   48.77
Trial   12:        33.78 :     100:         0.34 :   49.04
Trial   13:        34.27 :     100:         0.34 :   49.08
Trial   14:        34.07 :     100:         0.34 :   49.37
Trial   15:        34.07 :     100:         0.34 :   49.66
Trial   16:        34.08 :     100:         0.34 :   50.21
Trial   17:        33.59 :     100:         0.34 :   49.39
Trial   18:        34.16 :     100:         0.34 :   48.84
Trial   19:        34.04 :     100:         0.34 :   50.75
Trial   20:        34.38 :     100:         0.34 :   49.72
-----------------------------------
Trials AVE:        34.10 :  100.00:         0.34 :   49.47
Trials STD:         0.70 :    0.00:         0.01 :    0.56
Trials MED:        34.20 :  100.00:         0.34 :   49.46
Trials L95:        34.07 :  100.00:         0.34 :   49.08
Trials U95:        34.38 :  100.00:         0.34 :   49.72
Trials MIN:        31.45 :  100.00:         0.31 :   48.35
Trials MAX:        34.94 :  100.00:         0.35 :   50.75
