
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    250
Policy Type:                  cemppi
Num samples                   562
Horizon                       50
λ (inverse temp):             0.50
α (control cost param):       1.00
# AIS Iterations:             8
CE Elite Threshold:           0.80
CE Σ Est Method:              mle
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        46.31 :     250:         0.19 :  521.62
Trial    2:        50.58 :     250:         0.20 :  542.55
Trial    3:        41.39 :     250:         0.17 :  536.57
Trial    4:        57.86 :     250:         0.23 :  508.57
Trial    5:        54.15 :     250:         0.22 :  532.02
Trial    6:        55.79 :     250:         0.22 :  508.60
Trial    7:        48.23 :     250:         0.19 :  513.21
Trial    8:        55.19 :     250:         0.22 :  536.57
Trial    9:        50.12 :     250:         0.20 :  495.52
Trial   10:        54.08 :     250:         0.22 :  502.32
Trial   11:        48.74 :     250:         0.19 :  516.96
Trial   12:        54.64 :     250:         0.22 :  531.74
Trial   13:        52.93 :     250:         0.21 :  511.87
Trial   14:        55.89 :     250:         0.22 :  497.00
