
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  mppi
Num samples                   1500
Horizon                       50
λ (inverse temp):             0.10
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        41.38 :     100:         0.41 :   68.00
Trial    2:         6.91 :     100:         0.07 :   66.57
Trial    3:        34.29 :     100:         0.34 :   67.63
Trial    4:        34.63 :     100:         0.35 :   66.92
Trial    5:        34.47 :     100:         0.34 :   68.42
Trial    6:        42.81 :     100:         0.43 :   64.95
Trial    7:        35.16 :     100:         0.35 :   66.97
Trial    8:        21.01 :     100:         0.21 :   67.44
Trial    9:        18.21 :     100:         0.18 :   66.14
Trial   10:        26.24 :     100:         0.26 :   65.49
Trial   11:        35.35 :     100:         0.35 :   65.39
Trial   12:        17.24 :     100:         0.17 :   66.89
Trial   13:        39.54 :     100:         0.40 :   64.73
Trial   14:        39.06 :     100:         0.39 :   64.31
Trial   15:        41.52 :     100:         0.42 :   63.97
Trial   16:        41.32 :     100:         0.41 :   63.66
Trial   17:         7.91 :     100:         0.08 :   65.11
Trial   18:        34.38 :     100:         0.34 :   68.29
Trial   19:        34.19 :     100:         0.34 :   67.95
Trial   20:        24.38 :     100:         0.24 :   67.08
-----------------------------------
Trials AVE:        30.50 :  100.00:         0.30 :   66.30
Trials STD:        11.06 :    0.00:         0.11 :    1.50
Trials MED:        34.42 :  100.00:         0.34 :   66.73
Trials L95:        24.38 :  100.00:         0.24 :   65.11
Trials U95:        39.06 :  100.00:         0.39 :   67.44
Trials MIN:         6.91 :  100.00:         0.07 :   63.66
Trials MAX:        42.81 :  100.00:         0.43 :   68.42
