
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  mppi
Num samples                   2100
Horizon                       50
λ (inverse temp):             0.10
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.5000 0.5000
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        18.57 :     100:         0.19 :   93.95
Trial    2:        42.02 :     100:         0.42 :   88.93
Trial    3:        34.40 :     100:         0.34 :   94.10
Trial    4:        28.79 :     100:         0.29 :   92.44
Trial    5:        41.55 :     100:         0.42 :   90.12
Trial    6:        26.90 :     100:         0.27 :   91.77
Trial    7:        25.56 :     100:         0.26 :   91.96
Trial    8:        10.99 :     100:         0.11 :   92.70
Trial    9:        35.62 :     100:         0.36 :   92.40
Trial   10:        39.30 :     100:         0.39 :   90.24
Trial   11:        14.21 :     100:         0.14 :   93.84
Trial   12:        42.97 :     100:         0.43 :   90.56
Trial   13:        31.62 :     100:         0.32 :   93.58
Trial   14:        14.90 :     100:         0.15 :   93.65
Trial   15:        38.94 :     100:         0.39 :   90.98
Trial   16:        28.77 :     100:         0.29 :   94.14
Trial   17:        39.71 :     100:         0.40 :   90.99
Trial   18:        42.01 :     100:         0.42 :   90.98
Trial   19:        27.20 :     100:         0.27 :   92.55
Trial   20:        13.56 :     100:         0.14 :   94.02
-----------------------------------
Trials AVE:        29.88 :  100.00:         0.30 :   92.19
Trials STD:        10.72 :    0.00:         0.11 :    1.58
Trials MED:        30.20 :  100.00:         0.30 :   92.42
Trials L95:        25.56 :  100.00:         0.26 :   90.98
Trials U95:        39.30 :  100.00:         0.39 :   93.65
Trials MIN:        10.99 :  100.00:         0.11 :   88.93
Trials MAX:        42.97 :  100.00:         0.43 :   94.14
