Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  mppi
Num samples                   900
Horizon                       50
λ (inverse temp):             0.10
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.5000 0.5000
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        12.15 :     100:         0.12 :   40.76
Trial    2:        37.69 :     100:         0.38 :   40.66
Trial    3:        33.59 :     100:         0.34 :   41.79
Trial    4:        32.40 :     100:         0.32 :   41.94
Trial    5:         8.94 :     100:         0.09 :   41.42
Trial    6:        22.79 :     100:         0.23 :   41.53
Trial    7:         7.43 :     100:         0.07 :   41.17
Trial    8:        25.61 :     100:         0.26 :   40.83
Trial    9:        35.96 :     100:         0.36 :   41.47
Trial   10:        40.87 :     100:         0.41 :   40.37
Trial   11:         6.63 :     100:         0.07 :   41.48
Trial   12:        15.62 :     100:         0.16 :   40.91
Trial   13:        11.71 :     100:         0.12 :   40.73
Trial   14:        39.01 :     100:         0.39 :   40.80
Trial   15:        41.16 :     100:         0.41 :   40.24
Trial   16:        43.09 :     100:         0.43 :   40.34
Trial   17:        39.62 :     100:         0.40 :   40.47
Trial   18:        40.45 :     100:         0.40 :   39.90
Trial   19:        18.45 :     100:         0.18 :   41.25
Trial   20:        27.99 :     100:         0.28 :   41.27
-----------------------------------
Trials AVE:        27.06 :  100.00:         0.27 :   40.97
Trials STD:        12.99 :    0.00:         0.13 :    0.55
Trials MED:        30.19 :  100.00:         0.30 :   40.87
Trials L95:        15.62 :  100.00:         0.16 :   40.66
Trials U95:        39.01 :  100.00:         0.39 :   41.42
Trials MIN:         6.63 :  100.00:         0.07 :   39.90
Trials MAX:        43.09 :  100.00:         0.43 :   41.94
