Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  mppi
Num samples                   3000
Horizon                       50
λ (inverse temp):             0.10
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.5000 0.5000
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        15.87 :     100:         0.16 :  134.49
Trial    2:        42.38 :     100:         0.42 :  127.55
Trial    3:        23.26 :     100:         0.23 :  132.50
Trial    4:        35.41 :     100:         0.35 :  133.56
Trial    5:        22.64 :     100:         0.23 :  129.37
Trial    6:        34.05 :     100:         0.34 :  133.66
Trial    7:        37.51 :     100:         0.38 :  129.29
Trial    8:        12.56 :     100:         0.13 :  131.12
Trial    9:        12.64 :     100:         0.13 :  132.14
Trial   10:         9.32 :     100:         0.09 :  131.46
Trial   11:        34.38 :     100:         0.34 :  134.07
Trial   12:        25.87 :     100:         0.26 :  132.33
Trial   13:        43.05 :     100:         0.43 :  127.70
Trial   14:        42.20 :     100:         0.42 :  127.93
Trial   15:        34.37 :     100:         0.34 :  135.33
Trial   16:        41.42 :     100:         0.41 :  126.23
Trial   17:        41.74 :     100:         0.42 :  125.22
Trial   18:        42.19 :     100:         0.42 :  128.88
Trial   19:        10.70 :     100:         0.11 :  132.26
Trial   20:        42.12 :     100:         0.42 :  126.09
-----------------------------------
Trials AVE:        30.18 :  100.00:         0.30 :  130.56
Trials STD:        12.35 :    0.00:         0.12 :    3.08
Trials MED:        34.38 :  100.00:         0.34 :  131.29
Trials L95:        22.64 :  100.00:         0.23 :  127.93
Trials U95:        41.74 :  100.00:         0.42 :  132.50
Trials MIN:         9.32 :  100.00:         0.09 :  125.22
Trials MAX:        43.05 :  100.00:         0.43 :  135.33
