
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  mppi
Num samples                   1500
Horizon                       50
λ (inverse temp):             0.50
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        35.18 :     100:         0.35 :   46.33
Trial    2:        30.44 :     100:         0.30 :   45.12
Trial    3:        31.70 :     100:         0.32 :   44.38
Trial    4:        32.60 :     100:         0.33 :   44.91
Trial    5:        32.59 :     100:         0.33 :   44.86
Trial    6:        33.89 :     100:         0.34 :   44.96
Trial    7:        34.51 :     100:         0.35 :   44.29
Trial    8:        32.81 :     100:         0.33 :   44.99
Trial    9:        33.23 :     100:         0.33 :   44.83
Trial   10:        33.60 :     100:         0.34 :   45.09
Trial   11:        33.35 :     100:         0.33 :   45.80
Trial   12:        32.76 :     100:         0.33 :   44.60
