
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  mppi
Num samples                   2000
Horizon                       50
λ (inverse temp):             0.50
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        34.24 :     100:         0.34 :   67.64
Trial    2:        33.50 :     100:         0.34 :   67.39
Trial    3:        32.30 :     100:         0.32 :   67.21
Trial    4:        33.27 :     100:         0.33 :   67.39
Trial    5:        33.31 :     100:         0.33 :   67.13
Trial    6:        30.95 :     100:         0.31 :   68.26
Trial    7:        30.07 :     100:         0.30 :   69.05
Trial    8:        31.03 :     100:         0.31 :   68.94
Trial    9:        32.94 :     100:         0.33 :   67.56
Trial   10:        32.45 :     100:         0.32 :   67.09
Trial   11:        33.51 :     100:         0.34 :   67.84
Trial   12:        32.83 :     100:         0.33 :   67.86
Trial   13:        29.95 :     100:         0.30 :   68.26
Trial   14:        33.94 :     100:         0.34 :   67.40
Trial   15:        31.02 :     100:         0.31 :   68.06
Trial   16:        34.18 :     100:         0.34 :   66.69
Trial   17:        31.13 :     100:         0.31 :   67.80
Trial   18:        34.26 :     100:         0.34 :   67.09
Trial   19:        30.95 :     100:         0.31 :   68.86
Trial   20:        35.64 :     100:         0.36 :   67.66
-----------------------------------
Trials AVE:        32.57 :  100.00:         0.33 :   67.76
Trials STD:         1.59 :    0.00:         0.02 :    0.65
Trials MED:        32.89 :  100.00:         0.33 :   67.65
Trials L95:        31.03 :  100.00:         0.31 :   67.39
Trials U95:        33.51 :  100.00:         0.34 :   68.06
Trials MIN:        29.95 :  100.00:         0.30 :   66.69
Trials MAX:        35.64 :  100.00:         0.36 :   69.05
