
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  mppi
Num samples                   1500
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        32.01 :     100:         0.32 :   82.23
Trial    2:        29.20 :     100:         0.29 :   81.11
Trial    3:        29.72 :     100:         0.30 :   81.66
Trial    4:        29.88 :     100:         0.30 :   81.35
Trial    5:        30.21 :     100:         0.30 :   80.96
Trial    6:        31.87 :     100:         0.32 :   81.01
Trial    7:        30.84 :     100:         0.31 :   81.39
Trial    8:        30.37 :     100:         0.30 :   81.78
Trial    9:        29.09 :     100:         0.29 :   80.50
Trial   10:        30.45 :     100:         0.30 :   81.12
Trial   11:        29.28 :     100:         0.29 :   80.43
Trial   12:        30.33 :     100:         0.30 :   81.50
Trial   13:        29.41 :     100:         0.29 :   81.44
Trial   14:        29.40 :     100:         0.29 :   80.57
Trial   15:        30.11 :     100:         0.30 :   81.55
Trial   16:        30.15 :     100:         0.30 :   81.72
Trial   17:        29.31 :     100:         0.29 :   81.51
Trial   18:        32.38 :     100:         0.32 :   81.27
Trial   19:        29.84 :     100:         0.30 :   81.30
Trial   20:        30.86 :     100:         0.31 :   81.94
-----------------------------------
Trials AVE:        30.24 :  100.00:         0.30 :   81.32
Trials STD:         0.96 :    0.00:         0.01 :    0.47
Trials MED:        30.13 :  100.00:         0.30 :   81.37
Trials L95:        29.41 :  100.00:         0.29 :   81.11
Trials U95:        30.45 :  100.00:         0.30 :   81.55
Trials MIN:        29.09 :  100.00:         0.29 :   80.43
Trials MAX:        32.38 :  100.00:         0.32 :   82.23
